 bedroom, carpet_area, balcony, park_count,bath, price_in_Lac
2,778,2,2,2,85
2,807,1,2,1,170
2,954,0,2,1,80
2,700,1,2,2,39.8
2,715,1,2,3,65
2,780,1,2,1,40
2,920,0,2,2,58
2,800,1,2,2,75
2,664,1,2,2,46
2,980,1,2,1,60
2,766,1,2,1,65
2,926,1,2,2,29
2,736,1,2,2,56
2,875,1,2,2,32
2,750,1,2,1,70
2,800,1,2,2,82
2,700,0,2,2,37
2,1000,0,2,1,75
2,783,0,2,1,65
2,670,0,2,2,63.5
2,990,1,2,1,62
2,700,1,2,2,56.1
2,776,1,2,2,79
2,1015,0,2,2,77
2,960,1,2,1,79
2,1350,0,2,2,135
2,1305,0,2,3,107
2,850,1,2,1,61
2,1345,2,3,1,160
2,980,0,2,2,63
2,678,1,2,2,55
2,950,2,2,2,70
2,679,1,2,3,51
2,853,0,2,2,75
2,736,1,2,1,65
2,700,1,2,1,53
2,565,251,2,1,36
2,930,1,2,1,92
2,775,1,2,1,75
2,910,1,2,1,60
2,840,1,2,1,115
2,627,1,2,2,65
2,1065,1,2,2,93
2,840,1,2,2,102
2,900,1,2,2,85
2,628,1,2,2,39.5
2,700,1,2,1,60
2,1050,1,2,2,110
2,705,1,2,2,59
2,760,1,2,3,55.5
2,710,0,2,1,55
2,698,1,2,2,45
2,732,1,2,2,82.8
2,814,0,2,2,52.3
2,754,1,2,2,73.9
2,609,1,2,2,46.1
2,840,1,2,2,72
2,715,1,2,2,53.6
2,680,1,2,2,54.5
2,1000,0,2,2,100
2,930,1,2,1,140
2,720,1,2,1,80
2,741,1,2,2,40
2,658,1,2,2,48
2,760,10,2,2,40
2,971,0,2,2,43.1
2,890,1,2,2,52
2,741,1,2,2,44
2,789,0,2,2,71
2,725,1,2,2,46.9
2,790,1,2,1,79.5
2,750,0,2,2,38
2,1499,1,2,2,75
2,703,1,2,3,46
2,550,1,2,2,32
2,623,1,2,1,53
2,698,1,2,2,46.7
2,702,0,2,2,54
2,710,1,2,1,55.4
2,736,1,2,1,75
2,717,0,2,2,50.3
2,824,1,2,1,75
2,810,1,2,1,59.5
2,771,1,2,2,75.4
2,587,1,2,3,45.2
2,750,1,2,2,45
2,750,1,2,1,62
2,849,1,2,2,74.6
2,740,1,2,2,56.9
2,640,1,2,1,46
2,789,0,2,2,53
2,642,1,2,1,55
2,891,0,2,2,91
2,672,1,2,2,60
2,772,1,2,2,76
2,748,0,2,2,59
2,568,1,2,1,56.5
2,689,1,2,2,56
2,670,0,2,2,42.5
2,800,1,2,2,65.8
2,725,0,2,2,59
2,691,1,1,2,56
2,756,2,2,2,62
2,820,1,2,1,74.7
2,730,1,2,1,69
2,730,1,2,2,48
2,739,1,2,1,52
2,741,1,2,2,59
2,807,1,2,1,88
2,690,1,2,1,51
2,707,1,2,2,65
2,691,1,2,2,50.9
2,750,1,2,2,66
2,770,1,2,2,49
2,708,1,2,1,68.5
2,750,0,2,2,55
2,821,0,2,2,70
2,641,1,2,2,55
2,611,1,2,1,39
2,825,1,2,2,60
2,839,1,2,2,105
2,732,0,2,1,76
2,746,1,2,2,56
