location, bedroom, housetype, carpet_area, status, transatcion, furnishing, balcony, park_count,bath, ownership, facing, price_in_Lac
  Wakad,2,Flat,630,Ready to Move,Resale,SemiFurnished,1,2,2,Freehold,West,62
  Undri,2,Flat,543,Ready to Move,Resale,SemiFurnished,1,2,1,Cooperative Society,South,45
  Warje,2,Flat,755,Ready to Move,Resale,Unfurnished,1,1,1,Cooperative Society,West,85
  Manjri Manjri Budruk,2,Flat,691,Possession by Sep 24,New Property,Unfurnished,1,2,2,Freehold,North  East,59.4
  Wagholi,2,Flat,900,Ready to Move,Resale,SemiFurnished,1,2,1,Freehold,East,49
  Balewadi,2,Flat,823,Possession by Dec 22,New Property,Unfurnished,1,2,2,Cooperative Society,East,78
 Wakadewadi Shivaji Nagar,1,Flat,540,Ready to Move,Resale,SemiFurnished,1,2,NA,Freehold,East,65
  Wagholi,2,Flat,715,Ready to Move,Resale,SemiFurnished,1,2,1,Freehold,East,49
Aundh,2,House,480,Ready to Move,Resale,Unfurnished,0,1,NA,Freehold,East,51
  Pimple Saudagar Pimpri Chinchwad,2,Flat,860,Ready to Move,Resale,SemiFurnished,1,2,1,Freehold,North,85
 Sahakar Nagar 2 Parvati Darshan,4,House,1600,Ready to Move,Resale,SemiFurnished,2,4,NA,Cooperative Society,North,200
  Model Colony Shivaji Nagar,3,Flat,NA,Ready to Move,Resale,SemiFurnished,1,3,1,Freehold,West,170
 Chakan,2,Flat,880,Ready to Move,Resale,SemiFurnished,1,2,2,Freehold,East,29
  Senapati Bapat Road,3,Flat,1132,Ready to Move,Resale,SemiFurnished,1,2,2,Freehold,East,185
  Aundh,2,Flat,1226,Ready to Move,Resale,Furnished,0,2,2,Freehold,West,148
 Wanawadi,3,Flat,NA,Ready to Move,Resale,Unfurnished,0,3,1,Freehold,East,125
 Katraj,1,Flat,550,Ready to Move,Resale,SemiFurnished,1,1,1,Cooperative Society,West,34.5
 Talegaon Dabhade,3,House,888,Ready to Move,Resale,SemiFurnished,1,2,2,Freehold,East,60
 Keshav Nagar Mundhwa,3,Flat,1150,Ready to Move,New Property,Unfurnished,2,3,2,Freehold,West,90
  Pisoli,2,Flat,750,Ready to Move,Resale,Furnished,1,2,2,Freehold,South,47
 Bhairav Nagar Dhanori,1,Flat,520,Ready to Move,Resale,Unfurnished,1,1,1,Cooperative Society,East,29
  Bibwewadi,1,Flat,560,Ready to Move,Resale,SemiFurnished,0,1,NA,Cooperative Society,NA,42
  Talegaon Dabhade,2,Flat,NA,Ready to Move,Resale,Unfurnished,1,2,1,Cooperative Society,West,47
  Wakad,2,Flat,660,Ready to Move,Resale,Unfurnished,1,2,1,Cooperative Society,NA,54
  Salisbury Park Gultekdi,3,Flat,NA,Ready to Move,Resale,Unfurnished,0,3,2,NA,NA,180
 Wagholi,1,Flat,586,Ready to Move,Resale,Unfurnished,0,1,1,Cooperative Society,East,28
  Kharadi,2,Flat,880,Ready to Move,New Property,SemiFurnished,0,2,1,Cooperative Society,East,68
  Balewadi,3,Flat,1200,Ready to Move,Resale,SemiFurnished,2,3,3,Cooperative Society,East,120
  Wadki,1,Flat,350,Ready to Move,Resale,Unfurnished,0,1,1,Freehold,East,18
  Hadapsar,2,Flat,754,Ready to Move,New Property,Unfurnished,0,2,2,Cooperative Society,East,65
  Siddhartha Nagar Dhanori,2,Flat,677,Ready to Move,Resale,Unfurnished,1,2,2,Freehold,NA,45.5
  Bhugaon Bavdhan,3,House,2300,Ready to Move,Resale,Furnished,3,3,4,Freehold,North  East,290
 Undri,2,Flat,1095,Ready to Move,Resale,SemiFurnished,1,2,3,Freehold,NA,63
  Talegaon Dabhade,1,Flat,551,Ready to Move,Resale,SemiFurnished,1,1,NA,Freehold,NA,18.5
  Magarpatta City,5,Flat,4000,Ready to Move,Resale,Furnished,0,5,1,Freehold,NA,825
 Ambegaon Budruk,1,Flat,550,Ready to Move,Resale,SemiFurnished,1,1,1,Freehold,East,30
 Gade Residency,1,Flat,540,Ready to Move,New Property,Unfurnished,0,2,1,Freehold,East,30
  Pisoli,2,Flat,NA,Ready to Move,Resale,Unfurnished,0,2,1,NA,NA,32
  Kothrud,1,Flat,588,Ready to Move,Resale,SemiFurnished,1,1,NA,Freehold,East,60
  Sinhagad Road,2,Flat,910,Ready to Move,Resale,SemiFurnished,0,2,1,Freehold,North  East,70
 Ravet Pimpri Chinchwad,4,House,2450,Ready to Move,Resale,SemiFurnished,4,5,NA,NA,West,150
  Talegaon Dabhade,2,Flat,NA,NA,Resale,Unfurnished,0,2,NA,Freehold,West,24
  Charholi Budruk,3,Flat,1300,Ready to Move,Resale,Unfurnished,0,3,1,NA,NA,85
  Undri,2,Flat,868,Ready to Move,Resale,SemiFurnished,0,2,2,NA,NA,67
  Pimple Saudagar Pimpri Chinchwad,1,Flat,708,Ready to Move,Resale,Furnished,0,2,1,NA,NA,55
  Wagholi,2,Flat,750,Ready to Move,Resale,Unfurnished,0,2,1,NA,NA,45
  Talegaon Dabhade,1,Flat,532,Ready to Move,Resale,Unfurnished,0,1,1,NA,NA,28
  Kondhwa,1,Flat,625,Ready to Move,Resale,Unfurnished,1,1,1,Freehold,NA,37
  Wagholi,2,Flat,736,Ready to Move,New Property,Unfurnished,1,2,2,Freehold,East,40
  Mahalunge,2,Flat,645,Possession by Dec 23,New Property,Unfurnished,1,2,1,Freehold,East,57.2
  Bibwewadi,3,Flat,1300,Ready to Move,Resale,SemiFurnished,1,3,1,Freehold,East,110
  Baner  Pashan Link Road,2,Flat,1067,Ready to Move,Resale,SemiFurnished,1,2,1,Freehold,East,82
  Wakad,3,Flat,1120,Ready to Move,Resale,Unfurnished,0,3,2,Leasehold,North  East,100
  Balewadi,3,Flat,NA,Ready to Move,Resale,SemiFurnished,0,3,3,Freehold,West,280
  Magarpatta City,3,Flat,1322,Ready to Move,Resale,Furnished,1,3,2,Freehold,East,149
 Mumbai Pune Hwy,3,Flat,1470,Ready to Move,Resale,SemiFurnished,0,4,1,Freehold,East,130
 Bibwewadi,2,Flat,965,Ready to Move,Resale,Furnished,1,2,1,Freehold,East,95
  Erandwane,2,Flat,850,Ready to Move,Resale,SemiFurnished,1,2,1,Cooperative Society,West,165
  Manjari Khurd,2,Flat,802,NA,Resale,NA,0,2,NA,NA,NA,42.2
 Balewadi,3,Flat,1180,Ready to Move,Resale,Unfurnished,0,3,2,Freehold,North,105
 Rahatni Pimpri Chinchwad,3,Flat,1050,Ready to Move,Resale,Furnished,0,3,1,Cooperative Society,East,100
  Baner,2,Flat,720,Ready to Move,New Property,Unfurnished,1,2,2,Freehold,East,65
  Hinjewadi,1,Flat,430,Ready to Move,Resale,Unfurnished,1,1,1,Freehold,North  East,39.5
