location, bedroom, housetype, carpet_area, status, transatcion, furnishing, balcony, park_count,bath, ownership, facing, price_in_Lac
  Shewalewadi,2,Flat,531,Ready to Move,Resale,SemiFurnished,1,2,1,Cooperative Society,North  East,50
 Parvati Paytha,2,Flat,550,Ready to Move,Resale,Unfurnished,0,1,NA,Cooperative Society,NA,55
 Karvenagar,3,Flat,997,Ready to Move,Resale,Unfurnished,1,3,1,Freehold,East,115
  Undri,1,Flat,400,Ready to Move,Resale,SemiFurnished,1,1,1,Freehold,East,35
  Vishrantwadi Airport Road,2,Flat,1144,Ready to Move,Resale,SemiFurnished,1,2,2,Cooperative Society,West,82
  Pimple Saudagar Pimpri Chinchwad,2,Flat,860,Ready to Move,Resale,Furnished,1,2,2,Cooperative Society,West,82
   Dangat Patil Nagar,2,Flat,880,Ready to Move,Resale,Unfurnished,1,2,1,Freehold,East,38
 Handewadi Road,2,Flat,740,Ready to Move,Resale,SemiFurnished,1,2,1,Freehold,East,45
  Undri,3,Flat,1275,Ready to Move,Resale,SemiFurnished,1,3,NA,Freehold,East,105
  Dhayari,1,Flat,400,Ready to Move,New Property,Unfurnished,1,1,1,Freehold,East,34
 Hinjewadi Phase 1,3,Flat,1395,Ready to Move,Resale,Furnished,1,3,2,Cooperative Society,East,120
 Bhavani Peth Kasba Peth,2,Flat,780,Ready to Move,Resale,SemiFurnished,0,2,1,Freehold,North,76
 Anand Nagar,3,Flat,NA,Ready to Move,Resale,Furnished,0,3,NA,Cooperative Society,East,125
  Lohegaon,2,Flat,700,Ready to Move,Resale,SemiFurnished,1,2,1,Cooperative Society,East,65
 Wakadkar Wasti Pimpri Chinchwad,2,Flat,650,Ready to Move,Resale,SemiFurnished,1,2,1,Cooperative Society,East,70
  Bibwewadi,2,Flat,920,Ready to Move,New Property,SemiFurnished,1,2,2,Freehold,West,80
 Manjri Manjri Budruk,2,Flat,795,Ready to Move,Resale,Furnished,1,2,2,Freehold,North,115
 Sukhsagar Nagar Kondhwa Budruk,1,Flat,580,Ready to Move,Resale,Furnished,603,1,1,Cooperative Society,West,41
  NIBM Road,2,Flat,880,Ready to Move,Resale,Furnished,1,2,2,Cooperative Society,NA,78
  Kothrud,3,Flat,882,Ready to Move,Resale,SemiFurnished,1,2,NA,Freehold,East,175
  Hadapsar,2,Flat,880,Ready to Move,Resale,Unfurnished,1,2,2,Cooperative Society,East,62
  Wakad,4,Flat,1753,Ready to Move,Resale,SemiFurnished,2,5,1,Freehold,East,230
 Bhekarai Nagar,1,Flat,490,Ready to Move,Resale,Unfurnished,0,1,1,Freehold,East,28
  Sus,2,Flat,650,Ready to Move,Resale,Unfurnished,1,2,3,Freehold,West,62
  Baner road,0,Flat,270,Ready to Move,Resale,Furnished,0,1,NA,Cooperative Society,East,27.5
 Talegaon Dabhade,4,House,1800,Ready to Move,Resale,Furnished,0,5,1,Freehold,West,130
  Bavdhan,3,Flat,1550,Ready to Move,Resale,Furnished,2,3,2,Freehold,East,200
  Handewadi,1,Flat,436,Ready to Move,Resale,Unfurnished,1,1,1,Freehold,North,30
  NIBM Annexe,2,Flat,647,Ready to Move,Resale,SemiFurnished,1,2,1,Freehold,West,44
  Koregaon Park,3,Flat,1301,Ready to Move,Resale,Unfurnished,1,3,1,Freehold,East,172
   Bavdhan Khurd Bavdhan,2,Flat,689,Ready to Move,New Property,Unfurnished,0,2,1,Freehold,East,65.8
 Kasba Peth,1,Flat,NA,Ready to Move,Resale,Unfurnished,0,1,NA,Freehold,NA,28
 Chinchwad Pimpri Chinchwad,1,Flat,537,Ready to Move,Resale,Unfurnished,1,1,2,Freehold,North,39.9
  Kondhwa,3,Flat,1197,Ready to Move,Resale,Unfurnished,2,3,1,Freehold,East,110
 Hinjewadi,2,Flat,436,Ready to Move,Resale,Unfurnished,1,2,1,Cooperative Society,North,25
 Hadapsar,5,House,5500,Ready to Move,Resale,SemiFurnished,0,5,2,Freehold,NA,380
  Moshi,2,Flat,670,Ready to Move,Resale,Unfurnished,0,2,1,Freehold,East,40
  Vijay NagarKalewadi Pimpri Chinchwad,2,Flat,676,Ready to Move,Resale,Unfurnished,1,2,NA,Cooperative Society,NA,58
  Kondhwa,2,Flat,924,Ready to Move,Resale,SemiFurnished,2,2,1,Cooperative Society,East,72
 KrushnRup,1,Flat,460,Possession by Mar 22,Resale,Unfurnished,0,1,1,Freehold,East,19.5
 Sopan Baug,3,Flat,NA,Ready to Move,Resale,SemiFurnished,1,3,1,Cooperative Society,East,115
   Dhanori,2,Flat,750,Ready to Move,Resale,Furnished,1,2,2,Leasehold,West,70
  Aundh,4,Flat,1869,Ready to Move,Resale,Furnished,1,3,3,Freehold,NA,250
 Sahajanand Society Part 2 Kothrud,6,House,2600,Ready to Move,Resale,Unfurnished,0,3,6,Cooperative Society,North,400
NIBM Road,2,House,NA,Ready to Move,Resale,Unfurnished,20,2,2,Freehold,NA,900
 Purnanagar,2,Flat,736,Ready to Move,Resale,Furnished,0,2,1,Freehold,East,58
 NIBM Road,3,Flat,1220,Ready to Move,Resale,Unfurnished,1,3,2,Freehold,South,110
   Vallabh Nagar Pimpri Chinchwad,2,Flat,NA,Ready to Move,Resale,Furnished,1,2,1,Freehold,East,85
  Hinjewadi,2,Flat,648,Ready to Move,Resale,Unfurnished,1,2,1,Freehold,North  East,60
  Marunji Hinjawadi,3,Flat,572,Ready to Move,Resale,Unfurnished,1,2,1,Power Of Attorney,North  East,24
 Undri,1,Flat,505,Ready to Move,Resale,Unfurnished,0,1,1,NA,NA,27
 Govindkunj co op housing society,1,Flat,435,Ready to Move,Resale,Unfurnished,0,1,1,NA,NA,27
Pimple Gurav Pimpri Chinchwad,3,House,1730,Ready to Move,Resale,Furnished,1,4,2,Freehold,East,175
 rainbow vistaa,2,Flat,723,Ready to Move,Resale,SemiFurnished,0,2,1,NA,East,60
  Undri,2,Flat,62,Ready to Move,Resale,Unfurnished,0,2,1,Cooperative Society,NA,41
  Talegaon Dabhade,2,Flat,691,Ready to Move,Resale,Unfurnished,1,2,1,Cooperative Society,North,29
  Hadapsar,3,Flat,NA,Ready to Move,Resale,Furnished,0,3,NA,NA,NA,72
    Manjri Manjri Budruk,0,House,2800,Ready to Move,Resale,Furnished,1,6,5,Freehold,West,97.2
  Koregaon Park,2,Flat,1100,Ready to Move,Resale,Furnished,1,2,2,Freehold,South  East,90
 Nigdi Pimpri Chinchwad,2,Flat,NA,Ready to Move,Resale,Unfurnished,0,2,NA,Freehold,North,80
 Siddhashila Eela,2,Flat,870,Ready to Move,Resale,Unfurnished,0,2,2,Cooperative Society,East,60
  Pashan Gaon Pashan,2,Flat,705,Ready to Move,Resale,Unfurnished,1,2,1,Freehold,North,68
 Pradhikaran Bhosari,3,Flat,951,Ready to Move,Resale,SemiFurnished,0,2,1,Cooperative Society,East,70
 Gahunje,2,Flat,1050,Ready to Move,Resale,SemiFurnished,1,2,1,Freehold,East,98
  KondhaweDhawade,1,Flat,480,Ready to Move,Resale,SemiFurnished,1,1,1,Freehold,East,21
 Wadgaon Sheri,1,Flat,500,Ready to Move,Resale,Unfurnished,1,1,1,Cooperative Society,West,46
 Manjri Manjri Budruk,2,Flat,770,Ready to Move,Resale,Furnished,0,2,3,Freehold,NA,70
 Friends Heritage,1,Flat,NA,Ready to Move,Resale,Unfurnished,0,1,1,Freehold,East,20.5
  Karvenagar,2,Flat,NA,Ready to Move,Resale,SemiFurnished,0,1,1,Freehold,East,100
  Moshi,1,Flat,430,Ready to Move,Resale,Unfurnished,0,1,1,NA,NA,30
 Gahunje,1,Flat,482,Ready to Move,Resale,SemiFurnished,1,1,1,NA,East,60
  Ravet Pimpri Chinchwad,3,Flat,1023,Ready to Move,Resale,Unfurnished,0,3,2,Freehold,East,74
Tingre Nagar,3,House,NA,NA,Resale,SemiFurnished,0,3,1,NA,NA,125
  Keshav Nagar Mundhwa,2,Flat,737,Ready to Move,Resale,Unfurnished,1,2,2,Freehold,East,56.5
  Katraj Kondhwa Road,2,Flat,685,Ready to Move,Resale,Unfurnished,1,2,2,Freehold,East,60
  Ambe Gaon,2,Flat,673,Ready to Move,Resale,Unfurnished,1,2,1,Freehold,East,53
  Koregaon Park,2,Flat,900,Ready to Move,Resale,SemiFurnished,1,2,1,Freehold,East,110
 Vishrantwadi Airport Road,2,Flat,950,Ready to Move,Resale,Furnished,1,2,1,Freehold,North,75
  Thergaon Pimpri Chinchwad,2,Flat,634,Ready to Move,Resale,Furnished,1,2,1,Freehold,East,55
 Talegaon Dabhade,2,Flat,652,Ready to Move,Resale,SemiFurnished,0,2,1,Freehold,NA,35.5
Wagholi,2,House,900,Ready to Move,Resale,SemiFurnished,1,2,1,Freehold,East,175
 Shaniwar peth Narayan Peth,3,Flat,1400,Ready to Move,Resale,Unfurnished,0,2,3,NA,NA,180
 Hadapsar,3,Flat,1550,Ready to Move,Resale,Furnished,2,4,1,Freehold,West,210
 Mumbai Pune Hwy,3,Flat,1445,Ready to Move,Resale,SemiFurnished,2,3,1,Freehold,East,152
  Pimple Saudagar Pimpri Chinchwad,2,Flat,700,Ready to Move,Resale,Unfurnished,1,2,1,Cooperative Society,East,75
  Wadgaon Sheri,1,Flat,500,Ready to Move,Resale,Unfurnished,1,1,1,Cooperative Society,East,43
 Wanowrie,3,Flat,1400,Ready to Move,Resale,Furnished,1,3,1,Freehold,North  East,150
 Warje,5,House,NA,Ready to Move,Resale,SemiFurnished,0,5,2,Freehold,East,260
  Wagholi,1,Flat,620,Ready to Move,Resale,Unfurnished,1,1,1,Freehold,East,34
  Manjri Manjri Budruk,5,House,750,Ready to Move,Resale,Unfurnished,0,5,1,Freehold,East,59
  Thergaon Pimpri Chinchwad,2,Flat,847,Ready to Move,Resale,SemiFurnished,1,2,1,Freehold,East,59.5
 Gangadham Phase 2,2,Flat,860,Ready to Move,Resale,Furnished,1,2,1,Freehold,South,90
  Undri,3,House,NA,Ready to Move,Resale,Unfurnished,3,3,NA,Freehold,North,130
 Hinjewadi Rajiv Gandhi Infotech Park Hinjawadi,3,Flat,1225,Ready to Move,Resale,Unfurnished,1,3,2,Cooperative Society,North,75
 Pimpri Pimpri Chinchwad,3,Flat,1260,Ready to Move,Resale,Unfurnished,1,3,2,Cooperative Society,East,100
  Mohammed Wadi,3,Flat,1191,Ready to Move,Resale,Furnished,3,3,1,Freehold,West,115
  Wanawari,2,Flat,980,Ready to Move,Resale,Furnished,1,2,1,Freehold,West,98
  Magarpatta City,3,Flat,1200,Ready to Move,Resale,Furnished,1,3,1,Freehold,West,131
 Hadapsar,4,House,1800,Ready to Move,Resale,SemiFurnished,0,2,1,Freehold,North  West,95
  Shahunagar Pimpri Chinchwad,1,Flat,486,Ready to Move,Resale,SemiFurnished,1,1,1,Freehold,East,37
  Chakan,2,Flat,NA,Ready to Move,Resale,Unfurnished,0,2,1,Freehold,West,35
  Hadapsar,5,Flat,5680,Ready to Move,Resale,Unfurnished,0,6,4,Cooperative Society,East,410
  Kondhwa,4,Flat,1812,Ready to Move,Resale,Unfurnished,0,6,1,Cooperative Society,East,198
  Shivraj NagarRahatni Pimpri Chinchwad,3,Flat,1275,Ready to Move,Resale,Furnished,1,3,2,Freehold,East,130
  Morwadi Pimpri Chinchwad,2,Flat,680,Ready to Move,Resale,Furnished,0,2,1,Cooperative Society,West,78
 Pimpri Pimpri Chinchwad,3,Flat,1393,Ready to Move,Resale,Furnished,2,3,2,Freehold,East,150
  Pradhikaran Bhosari,1,House,480,Ready to Move,Resale,Unfurnished,0,2,1,Freehold,NA,45
  Bhusari Colony Kothrud,1,Flat,885,Ready to Move,Resale,Unfurnished,1,1,NA,Freehold,East,69.9
 Talegaon Dabhade,3,Flat,1300,Ready to Move,Resale,Furnished,1,3,2,Freehold,North,95
  Wakad,2,Flat,811,Ready to Move,Resale,Unfurnished,1,2,1,Cooperative Society,East,74.5
 Pradhikaran Bhosari,4,House,1760,Ready to Move,Resale,Furnished,2,4,1,Freehold,East,250
 Kharadi Gaon Kharadi,4,Flat,2295,Ready to Move,Resale,SemiFurnished,3,5,5,Freehold,East,310
  Chakan,2,Flat,1020,Ready to Move,Resale,Unfurnished,2,2,2,Freehold,NA,30.6
Malavli,2,House,1500,NA,Resale,SemiFurnished,0,3,2,NA,NA,65
  Pimpri Chinchwad,1,Flat,NA,Ready to Move,Resale,SemiFurnished,0,1,NA,NA,NA,44
 Shikrapur,1,Flat,NA,Ready to Move,Resale,Unfurnished,1,1,NA,NA,NA,20
 Udyog nagar Hadapsar,2,Flat,NA,Ready to Move,Resale,SemiFurnished,0,2,NA,NA,NA,41.5
 Reelicon Alpine Ridge,2,Flat,806,Ready to Move,Resale,Furnished,0,2,2,NA,NA,79.9
  Mulshi,1,Flat,NA,NA,Resale,SemiFurnished,0,2,NA,NA,NA,25
 Wadgaon Sheri Opp post office,1,Flat,NA,Ready to Move,Resale,Unfurnished,1,1,NA,Freehold,West,28
 Kotkar Lane off Bhau Patil Marg Aundh Road.,2,Flat,NA,Ready to Move,Resale,Unfurnished,0,2,NA,NA,NA,75
 Mukund Nagar,4,House,2800,Ready to Move,Resale,Unfurnished,0,4,2,Freehold,East,551
    Vallabh nagar,3,Flat,1076,Ready to Move,Resale,SemiFurnished,2,3,2,Cooperative Society,South,96
 Talegaon Dabhade,2,Flat,647,Possession by Jun 21,Resale,Unfurnished,0,2,1,Freehold,East,34
  Sus,2,Flat,980,Ready to Move,Resale,Unfurnished,0,2,1,Cooperative Society,North,60
  Marunji Hinjawadi,2,Flat,760,Ready to Move,Resale,Unfurnished,0,2,1,NA,NA,60
  Meera Nagar Koregaon Park,2,Flat,1000,Ready to Move,Resale,Furnished,1,2,3,Freehold,NA,135
  Baner Gaon Baner,2,Flat,750,Ready to Move,Resale,SemiFurnished,1,2,1,Freehold,East,90
  Bhukum,1,Flat,440,Ready to Move,Resale,Unfurnished,1,1,1,Freehold,West,28
  Ravet Pimpri Chinchwad,2,Flat,850,Ready to Move,Resale,SemiFurnished,1,2,1,Freehold,East,52
  Hinjewadi,1,Flat,456,Ready to Move,Resale,Unfurnished,0,2,1,Freehold,NA,36
 Somatne Phata,2,Flat,619,Ready to Move,New Property,Unfurnished,0,2,1,NA,NA,38
 Spine Road,2,Flat,NA,Ready to Move,Resale,SemiFurnished,24,1,1,Cooperative Society,West,49
  Sinhagad Road,2,Flat,820,Ready to Move,Resale,Unfurnished,0,2,2,Freehold,East,64
  Ranjan Gaon,1,Flat,NA,Ready to Move,Resale,SemiFurnished,1,1,NA,Cooperative Society,East,20
 Ambegaon Budruk,2,Flat,NA,Ready to Move,Resale,Unfurnished,0,2,1,Cooperative Society,East,45
  Kharadi,3,Flat,1160,Ready to Move,Resale,SemiFurnished,2,3,2,Freehold,North  East,140
  Sasane Nagar Hadapsar,2,Flat,789,Ready to Move,Resale,Unfurnished,1,2,1,Freehold,East,45
  Kondhwa,3,Flat,818,Ready to Move,Resale,Unfurnished,0,2,2,Freehold,North,55
 Wadgaon Sheri,1,Flat,3000,Ready to Move,Resale,SemiFurnished,1,1,NA,NA,NA,145
 Talegaon Dabhade,1,Flat,484,Ready to Move,Resale,SemiFurnished,1,2,2,Freehold,East,24
 Sinhagad Road,3,House,1266,Ready to Move,Resale,Unfurnished,2,3,1,Freehold,East,135
 Yashwant Nagar,2,Flat,654,Ready to Move,Resale,Unfurnished,1,2,1,Cooperative Society,West,40
  Pimple Nilakh Pimpri Chinchwad,1,Flat,526,Ready to Move,Resale,Unfurnished,1,1,1,Freehold,West,50
 Madhuban ColonyOld Sangvi Pimpri Chinchwad,2,Flat,790,Ready to Move,Resale,Unfurnished,1,1,2,Power Of Attorney,East,48
  Somatne Phata,2,Flat,NA,Ready to Move,Resale,Unfurnished,0,2,NA,NA,NA,39.5
  Pirangut,2,Flat,690,Ready to Move,Other,Unfurnished,1,2,1,Freehold,West,42
  Talegaon Dabhade,1,Flat,510,Ready to Move,Resale,Unfurnished,1,1,1,Freehold,East,24
  Pirangut,1,Flat,450,Ready to Move,Resale,Unfurnished,1,1,1,Cooperative Society,East,27
  Ravet Pimpri Chinchwad,2,Flat,721,Ready to Move,Resale,Unfurnished,0,2,1,Freehold,North,65
  Kondhwa,2,Flat,NA,Ready to Move,New Property,Unfurnished,0,2,2,Freehold,NA,72
 Narhe,2,Flat,770,Ready to Move,Resale,Unfurnished,1,2,1,Freehold,East,55
  Dighi,1,Flat,560,Ready to Move,Resale,SemiFurnished,1,1,2,Freehold,East,37
 Khed Shivapur Road,1,Flat,495,Ready to Move,Resale,Unfurnished,0,1,1,Cooperative Society,East,18
 Wadmukhwadi,3,Flat,910,Ready to Move,Resale,Unfurnished,1,3,2,Cooperative Society,East,60
 Mahalunge,2,Flat,790,Ready to Move,Resale,Unfurnished,1,2,2,Cooperative Society,East,82
  Yewalewadi Katraj,3,Flat,1221,Ready to Move,Resale,SemiFurnished,1,4,2,Freehold,West,75
 Talegaon Dabhade,4,House,NA,Ready to Move,Resale,Furnished,1,4,NA,Freehold,NA,600
  Hinjewadi,2,Flat,750,Ready to Move,Resale,Unfurnished,0,2,1,Freehold,East,67
 Kalewadi,1,Flat,470,Ready to Move,Resale,Unfurnished,0,1,1,Freehold,North,38
  Kasar Amboli,2,Flat,720,Ready to Move,Resale,Furnished,50,2,2,Leasehold,East,37.5
  Dhayari,1,Flat,450,Ready to Move,Resale,SemiFurnished,0,2,1,Cooperative Society,East,30
 Talegaon Dhamdhere,2,Flat,NA,Ready to Move,Resale,Unfurnished,0,1,NA,NA,NA,19
  NIBM Road,2,Flat,NA,Ready to Move,Resale,Unfurnished,1,2,1,Freehold,East,52
  Bibwewadi,1,Flat,NA,Ready to Move,Resale,Furnished,0,1,1,Freehold,East,48
  Loni Kalbhor,2,Flat,625,Ready to Move,Resale,SemiFurnished,0,2,1,Cooperative Society,East,35
  Hinjewadi,2,Flat,NA,NA,Resale,Unfurnished,0,2,NA,Cooperative Society,East,71
 Marvel ideal Spacio undri,3,Flat,NA,Ready to Move,Resale,Furnished,0,3,NA,NA,NA,105
  Ambegaon Pathar Vadgaon Budruk,2,Flat,750,Ready to Move,Resale,SemiFurnished,0,2,1,Cooperative Society,East,42
  Kanhe,1,Flat,NA,Ready to Move,Resale,Unfurnished,1,1,1,Freehold,South  East,22
  Dighi,1,Flat,500,Ready to Move,Resale,Unfurnished,100,1,NA,Freehold,East,32
  Hinjewadi Phase 2,2,Flat,1232,Ready to Move,Resale,Unfurnished,115,2,2,Freehold,NA,72
  Manjri Manjri Budruk,4,House,2456,Ready to Move,Resale,SemiFurnished,0,3,2,Cooperative Society,NA,205
 Alandi Road,2,Flat,620,Ready to Move,Resale,Unfurnished,0,2,1,NA,NA,37
 Dhayari,2,Flat,883,Ready to Move,Resale,Unfurnished,1,2,1,Freehold,West,50
  Kasar Amboli,2,Flat,587,Ready to Move,Resale,Unfurnished,0,1,1,NA,NA,32
  Magarpatta City,4,Flat,NA,Ready to Move,Resale,Furnished,0,4,1,Cooperative Society,East,180
 Girish Society,4,House,NA,Ready to Move,Resale,SemiFurnished,0,4,NA,NA,NA,295
  Kharabwadi,2,Flat,800,Ready to Move,Resale,SemiFurnished,1,2,1,Cooperative Society,East,29.5
 RiveraApartment Tadiwala Road,3,Flat,900,Ready to Move,Resale,Furnished,1,2,NA,Freehold,NA,75
   Kondhwa,2,Flat,752,Ready to Move,Resale,SemiFurnished,1,2,1,Freehold,East,57
  Undri,3,House,NA,Ready to Move,Resale,Unfurnished,3,3,3,Freehold,North,128
 Dhairy,1,Flat,570,Ready to Move,Resale,SemiFurnished,1,1,1,Freehold,North  East,32
  Kondhwa,3,House,NA,Ready to Move,New Property,Furnished,2,2,2,Freehold,West,200
  Kondhwa,2,Flat,750,Ready to Move,Resale,SemiFurnished,110,2,2,Freehold,North  East,55
 J k hill park I wing,2,Flat,NA,Ready to Move,Resale,Unfurnished,0,2,1,Cooperative Society,East,62
  Pimple Nilakh Pimpri Chinchwad,1,Flat,559,Ready to Move,Resale,Furnished,1,1,1,NA,East,48
 Mumbai Pune Hwy,2,Flat,990,Ready to Move,Resale,Unfurnished,0,2,2,Freehold,East,88
  Sinhagad Road,2,Flat,800,Ready to Move,Resale,Unfurnished,0,1,1,NA,South,43
  Hadapsar,2,Flat,300,Ready to Move,Resale,Unfurnished,1,2,1,NA,East,120
  Rajas Society Kondhwa Budruk,2,Flat,NA,Ready to Move,Resale,Unfurnished,1,2,1,Freehold,South  East,55
 Urawade,3,House,2700,Ready to Move,Resale,Furnished,3,3,1,Leasehold,West,175
  Viman Nagar,2,Flat,850,Ready to Move,Resale,SemiFurnished,1,2,2,Freehold,North  East,88
 sai kamal residency ramnagar colony,4,House,NA,Ready to Move,Resale,Furnished,1,5,NA,NA,NA,325
  Ravet Pimpri Chinchwad,2,Flat,730,Ready to Move,Resale,SemiFurnished,1,2,2,Freehold,East,61.9
  Kondhwa,3,Flat,1435,Ready to Move,Resale,SemiFurnished,2,3,2,Freehold,East,140
  Kondhwa,4,Flat,2600,Ready to Move,Resale,Furnished,3,6,NA,Freehold,North  East,195
 Kolhewadi Khadakwasla,2,Flat,765,Ready to Move,Resale,Furnished,1,2,1,Freehold,East,41
  Hinjewadi Rajiv Gandhi Infotech Park Hinjawadi,2,Flat,750,Ready to Move,Resale,Unfurnished,0,2,1,Freehold,South  East,59.9
  Dhayari,2,Flat,837,Ready to Move,Resale,SemiFurnished,1,2,1,Freehold,East,50
 Ambegaon Budruk,2,Flat,630,Ready to Move,Resale,SemiFurnished,1,2,1,Cooperative Society,North,55
  Sus,1,Flat,570,Ready to Move,Resale,Unfurnished,1,1,2,Cooperative Society,North  West,45
Lonavala,3,House,NA,Ready to Move,Resale,Furnished,0,3,3,Cooperative Society,East,165
 Shravandhara Housing Society,3,Flat,990,Ready to Move,Resale,Furnished,0,2,1,Leasehold,North  East,78
  Wadgaon Sheri,2,Flat,697,Ready to Move,Resale,SemiFurnished,1,2,NA,Freehold,NA,66.5
 Baner,2,Flat,740,NA,New Property,Unfurnished,0,2,2,Freehold,North,69.9
  Kondhwa,3,Flat,1314,Ready to Move,Resale,Unfurnished,0,3,4,Freehold,East,95
  Talegaon Dabhade,2,Flat,NA,Ready to Move,Resale,SemiFurnished,1,2,2,Cooperative Society,East,45
  Talegaon Dabhade,2,Flat,NA,Ready to Move,Resale,SemiFurnished,1,2,1,Freehold,North,38
  Ravet Pimpri Chinchwad,2,Flat,574,Ready to Move,Resale,Unfurnished,0,2,2,NA,East,50
 Pimpri Chinchwad,1,Flat,522,Ready to Move,Resale,SemiFurnished,2,1,1,Freehold,East,35
 Viman Nagar,3,Flat,NA,Ready to Move,Resale,Unfurnished,0,4,2,Freehold,East,250
  B.T Kawade Road,2,Flat,1050,Ready to Move,Resale,SemiFurnished,1,2,1,Cooperative Society,East,110
 Boat Club Road,5,House,4500,Ready to Move,Resale,Furnished,1,4,3,Cooperative Society,North,1200
  Mundhwa,4,House,3600,Ready to Move,Resale,Unfurnished,2,5,1,Freehold,East,825
  Ravet Pimpri Chinchwad,1,Flat,436,Ready to Move,Resale,Unfurnished,1,1,1,Freehold,East,39
 Mumbai Pune Hwy,2,Flat,947,Ready to Move,Resale,SemiFurnished,1,2,1,Freehold,East,85
  Punawale Pimpri Chinchwad,1,Flat,480,Ready to Move,Resale,Unfurnished,2,1,2,Cooperative Society,South  East,34
  Koregaon Park,2,Flat,950,Ready to Move,Resale,Unfurnished,1,2,NA,Cooperative Society,East,95
 Bhukum,3,Flat,1233,Ready to Move,Resale,Unfurnished,2,3,2,Freehold,West,100
  Hinjewadi Phase 2,2,Flat,NA,Ready to Move,Resale,Furnished,1,2,3,Leasehold,NA,72
  Sus,2,Flat,NA,Ready to Move,Resale,Unfurnished,1,2,NA,Freehold,East,55
 Rajgruha Society,2,Flat,750,Ready to Move,Resale,SemiFurnished,1,2,1,Freehold,East,60
 SAI SHRADHA SOCIETY PIMPRI,1,Flat,450,Ready to Move,Resale,SemiFurnished,0,1,1,Freehold,West,36
 Bavdhan,1,Flat,1431,Ready to Move,Resale,Furnished,1,1,1,Freehold,East,86
  Sahakar Nagar Parvati Darshan,3,Flat,863,Ready to Move,Resale,Unfurnished,1,2,2,Freehold,East,185
 Undri,3,Flat,1200,Ready to Move,Resale,Unfurnished,1,3,NA,Freehold,East,77
 Katraj,1,Flat,396,Ready to Move,Resale,Unfurnished,1,1,1,Freehold,East,34
  Mundhwa,2,Flat,858,Ready to Move,Resale,SemiFurnished,1,2,2,Leasehold,East,80
  Sutarwadi Pashan,2,Flat,610,Ready to Move,Resale,SemiFurnished,1,1,1,Cooperative Society,West,62
  Undri,2,Flat,1020,Ready to Move,Resale,Unfurnished,0,2,2,NA,NA,50
  Dighi,2,Flat,754,Ready to Move,Resale,Unfurnished,1,2,1,Cooperative Society,East,43.5
  Talegaon Dabhade,1,Flat,505,Ready to Move,Resale,Unfurnished,0,2,1,Cooperative Society,East,22
  Pimpri Chinchwad,1,Flat,NA,Ready to Move,Resale,SemiFurnished,0,1,NA,NA,NA,28
 J.M Road,2,Flat,866,Ready to Move,Resale,Unfurnished,1,2,1,Freehold,North,190
  Talegaon Dabhade,2,Flat,600,Ready to Move,New Property,Unfurnished,1,1,1,Freehold,East,28.5
  NIBM Annexe,5,Flat,2520,Ready to Move,Resale,Unfurnished,0,4,4,Cooperative Society,East,185
  Pirangut,1,Flat,369,Ready to Move,Resale,Unfurnished,0,1,1,Freehold,North,20
  Kondhwa,2,Flat,NA,Ready to Move,Resale,Unfurnished,401,2,NA,Cooperative Society,West,57
  Wanawari,3,Flat,NA,Ready to Move,Resale,Unfurnished,0,4,1,Freehold,North,250
  Talegaon Dabhade,2,Flat,615,Ready to Move,New Property,Unfurnished,1,2,3,Freehold,East,34
  Alandi Kelgaon,1,Flat,542,Ready to Move,Resale,Unfurnished,0,1,2,Freehold,North  East,22
  Katraj,2,Flat,NA,Ready to Move,Resale,SemiFurnished,1,2,2,Freehold,North  East,53
  Vallabh Nagar Pimpri Chinchwad,7,House,700,Ready to Move,Resale,SemiFurnished,0,3,2,Freehold,North  East,140
 Boat Club Road,5,House,NA,Ready to Move,Resale,Furnished,1,4,3,Cooperative Society,North,1250
 Tathawade Dattwadi,1,Flat,516,Ready to Move,Resale,Unfurnished,0,1,1,Freehold,East,40
  Sinhagad Road,2,Flat,621,Ready to Move,Resale,Unfurnished,0,2,3,Freehold,East,105
 Lonikand,1,Flat,497,Ready to Move,New Property,Unfurnished,0,2,1,Freehold,West,13
  Park Street Pimpri Chinchwad,5,Flat,4000,Ready to Move,Resale,Unfurnished,4,5,2,Freehold,West,340
  Moshi,2,Flat,NA,Ready to Move,Resale,Furnished,1,2,1,Freehold,North,39
 Hadapsar,1,Flat,480,Ready to Move,Resale,SemiFurnished,1,1,1,Freehold,West,35
  Magarpatta City,3,Flat,1380,Ready to Move,Resale,SemiFurnished,1,3,1,Freehold,West,135
 Nilayam Cooperative Housing Society,2,Flat,NA,Ready to Move,Resale,Unfurnished,0,2,NA,Cooperative Society,East,68
 Camp Pune Privilege Apt,2,Flat,NA,Ready to Move,Resale,Furnished,0,2,NA,NA,NA,115
  Hinjewadi Phase 1,2,Flat,575,Ready to Move,Resale,SemiFurnished,1,2,1,Freehold,NA,61
  Kothrud,1,Flat,480,Ready to Move,Resale,SemiFurnished,0,1,NA,NA,NA,65
 Old Sanghvi,2,Flat,NA,Ready to Move,Resale,Unfurnished,0,1,NA,NA,NA,48
  Shree Madhavashram Apartment Baner,2,Flat,NA,NA,Resale,Unfurnished,0,2,NA,NA,NA,85
 Shivane,2,Flat,620,Ready to Move,Resale,Unfurnished,1,2,1,Freehold,East,37
  Kharadi,2,Flat,828,Possession by Dec 23,Resale,Unfurnished,0,2,3,Freehold,South,85
